"NAME_EN","NAME_ES","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Fiji","Fiyi","","","","","","","","","","","","","","","","","","","","","",""
"Tanzania","Tanzania","","","","","","","","","","","","","","","","","","","","","",""
"Western Sahara","Sahara Occidental","","","","","","","","","","","","","","","","","","","","","",""
"Canada","Canadá","41767974","40451914","23323029","35884417","40701307","45229860","46726978","52103547","53718757","52583516","63277409.375339","66078011.954739","70467400.792869","71526725.918431","75528607","80228302","85406425","91404001","91504000","93352000","27620000","24951000"
"United States of America","Estados Unidos","665327414","622187846","598410415","588997110","678110608","720547738","725530965","744302310","701779551","679423408","720497000","730796000","736699000","743171000","762710000","798222000","824039000","849403000","889024000","926737000","369501000","666153000"
"Kazakhstan","Kazajistán","","","","","","","","","","","","","","","","","","","","","",""
"Uzbekistan","Uzbekistán","1744510","2256380","1451004","1465798","1588049","1639276","1665190","1940378","2033933","1850056","2114050","2275947","2593509","2614085","2545935","2486673","2383631","2581865","3056558","3685192","933769","2010914"
"Papua New Guinea","Papúa Nueva Guinea","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Indonesia","9916365","12453812","12113452","12221066","26780550","26835524","29867483","30405918","29766093","27421235","59384361.605798","70912258.109048","79405799.80957","81721356","85215879.509739","90095131","99274010","108393123","115154100.909","91323153","37523686.817","33549828"
"Argentina","Argentina","8915627","5808770","5662905","6036360","6795484","6938436","6611915","7036784","6147290","5694547","9025035.3118736","8590839.8497729","9375669.7396375","11951276.822393","12121912.818","14245183","15076354","16749271","18084553","19461377","3680874","6708097"
"Chile","Chile","5174876","5315623","4986727","5246787","5463753","5939020","6016649","7190963","8021939","8097314","9269026","10949863","12892856","13806283","14347893","15006762","16362437","17664974","19517185","21197759","8019753","10302876"
"Democratic Republic of the Congo","República Democrática del Congo","","","","","","","","","","","","","","","","","","","","","",""
"Somalia","Somalia","","","","","","","","","","","163812.74580862","177005.4","178709.7","258336","251652","","4486","4486","33728.968657989","34065.556846186","",""
"Kenya","Kenia","","","","","","","","","","","","","","","","","","","","","",""
"Sudan","Sudán","414179","414983","409178","420498","473127","510977","563026","598151","617785","606558","580325","947031.45611315","777346.33192403","541644","501864","496177","292843","557792.04","561520","530001","386838","1386967"
"Chad","Chad","77273","46364","","","","","","","","","48519.199657971","74653.8","52041.6","28080","28332","","","","","","",""
"Haiti","Haití","","","","","","","","","","","","","","","","","","","","","23119","23119"
"Dominican Republic","República Dominicana","","","","","","","","","","","19167","28232.1","28442.05","20004","16128","14463","11903","","","113752","31391","69447"
"Russia","Rusia","","","","","","","","","","","","","","","","","","","","","",""
"The Bahamas","Bahamas","1860623","1625689","1543274","1601347","900000","1020000","1033407","1089636","1088876","979042","967914","1056129.5948594","1048391.0668218","576996","991463.32887981","900028","937476","921470","1830394.8620746","1856546","1272798.762","1065149.134"
"Falkland Islands","Islas Malvinas","","","","","","","","","","","","","","","","","","","","","",""
"Norway","Noruega","15182305","14556181","13699204","12805757","12277222","","","","","","","","","","","","","","","","",""
"Greenland","Groenlandia","","","","","","","","","","","","","","","","","","","","","",""
"French Southern and Antarctic Lands","Tierras Australes y Antárticas Francesas","","","","","","","","","","","","","","","","","","","","","",""
"East Timor","Timor Oriental","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","Sudáfrica","8000757","7948374","8052660","9159815","9878598","11844657","12932671","12870324","13135437","12503629","15781210","16407784.957168","17571565.203215","16311250","17026643.219122","18882898","19744932","20821044","24660386","26211258","8304771.044","9321575.836"
"Lesotho","Lesoto","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","México","20894205","20172824","19618662","20661206","21167881","21857658","21243010","20952513","18825976","15728171","31269061","29538937","32909408.724554","35986501.817","39570522","46966763","53313307","58537832","64569640","69937838","34133108","54217876"
"Uruguay","Uruguay","642027","558563","525049","463884","564149","586458","568864","602996","612644","563632","","","","","","","","","","","",""
"Brazil","Brasil","31287784","34285574","35889538","32372040","35263795","37661733","40945038","45286990","58763225","67945578","74627064","87860363","94752568","95591641","100403628","102039359","94142377","96395709","102109977","102917546","45405756","61896523"
"Bolivia","Bolivia","1756608","1557128","1508700","1770774","1824313","1892343","1443165","1744663","1718196","1537032","1781340","2125912.5265979","2206069.7606697","2027888","3563043.5828127","4115271","3678739","4053427.35","4122113","4066959","2627202.201","4311879.56"
"Peru","Perú","1595268","2248991","2085823","2226329","3225128","4332223","4217880","5273188","6184410","5843195","7106025.2925172","8609620.3544122","10074855.611923","12255937.76295","12284677","13877662","15081755","16094150","17758527.272","18820572","5705074","9053965"
"Colombia","Colombia","8568734","9604390","9424850","9142585","8829094","9984424","10616356","11630594","12338706","12115330","16932435","18768534.770155","22012458.844377","26929238","28675159","30909723","32262658","32504898","33704037","37031843","12273939.724","26167360"
"Panama","Panamá","1117411","1114727","1047843","1416071","1500673","1795958","2028711","2473261","2762458","6348000","5524157.4296921","6380080.1838697","7517581.2770127","11656416","11812712.838391","12193261","13285098","11975372","12631703","12497758","3074172","8208378"
"Costa Rica","Costa Rica","877833","737895","675146","749885","901402","953217","943143","1017054","1023665","932581","1697893.8890269","1829514.9470822","1770111.378347","1498996","1427414","1525922","1572605","1822880","1950049","2033146","455830.6","669298"
"Nicaragua","Nicaragua","61031","","","","","","","","","","","","","","","","","","","","",""
"Honduras","Honduras","","","","","","","","","","","501520","423655.32558716","422016.88764492","372972","239124","276689","275587","248964","411989","321243","","271314"
"El Salvador","El Salvador","1960363","1692334","1804307","2182463","2391159","2540564","2579145","2536820","2279763","1996982","1816391.1038335","2151274","2523296","2509003","2816524","2597649","2603129","2670560","2545105","2609917","805271.999","1412026"
"Guatemala","Guatemala","","","","","","","","","","","313892","326146.20615","288013.90082569","78264","69768","93129","111830","155524","145795","107350","25217.454","1766.181"
"Belize","Belice","","","","","","","","","","","143928","179471.41354269","448015.91402667","513175.6","877765","935604","990499","1285642","1297533.2230789","1278187.556","971426.138","670361.821"
"Venezuela","Venezuela","4295000","9452434","6369455","3889929","4943887","5043028","5225573","5495292","5766973","5121009","6428163","7728281.2539329","7738509.6454494","6866780.59936","7888722.39936","7086072","6025475","4209158","2217407","1516839","283524","265276"
"Guyana","Guyana","73256","47800","","","","","","","","","273160","340267.62320722","247780.34769101","0","0","","","","26069","28697","17990","7512"
"Suriname","Surinam","","","","","","","","","","","","","","","","","","","","","",""
"France","Francia","52581312","50476541","49305864","47258820","48543473","52477178","59537872","61551258","61214656","58318312","60864422.113513","64185339.34113","64683769.024321","63925151","63434263","65039503","65362743","68316473","70188028","71289277","24956343","32000528"
"Ecuador","Ecuador","1318518","1284922","1184098","1521249","1828303","2011004","2110423","2630759","2926821","2896528","4818305","4714115","4758406.3067717","5157521","5675088","5677816","5099726","5121235","5365261","4827978","1146368.544","1534854"
"Puerto Rico","Puerto Rico","","","","","","","","","","","","","","","","","","","","","",""
"Jamaica","Jamaica","1922123","1946123","2016000","1838047","2007765","1573785","1526571","1618165","1644056","1380000","0","0","0","46272","76244","92836","136744","151326","180951.272","","",""
"Cuba","Cuba","1007193","882309","588700","610957","743256","812781","811559","857213","861352","780484","1578011.7886714","1478595.9591607","1313502.683984","1395072","1135200","1294458","1333078","942785","563540","457130","99838","22359"
"Zimbabwe","Zimbabue","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","Botsuana","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","Namibia","247147","215237","222009","265655","282915","399280","400947","430741","452167","454855","485849","540867.9","632330.085","510000","522216","553322","558713","623076","602893","212578","62262.67","2245.772"
"Senegal","Senegal","97525","176413","231333","129974","416372","449682","500677","538845","567101","572609","0","391401.4","543987.6","219996","131964","115355","9874","21038","278438.28855991","457722","271331","359705.738"
"Mali","Malí","77273","46364","","","","","","","","","303692","363857.37590431","181742.61420249","33444","0","","","","","","",""
"Mauritania","Mauritania","185061","155687","105541","116136","128329","138595","149188","154662","153895","142355","524817.89473153","381075.92356343","325239.52355014","261696","271212","248158","280215","418817","379211","386621","100904","207225"
"Benin","Benín","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Níger","77273","46364","","","","","","","","","0","0","119652","87936","13227.5","15243","15044","14713","","","","15019.2"
"Nigeria","Nigeria","507396","519453","520278","520263","540461","747648","1307541","1363435","1460900","1365343","4197375","4793913.2741604","4716148.0807306","4209624","4462001.6297301","4613169","4110075","4789878","7786143.9941623","6539048.3530901","3435350.518","4486313.422"
"Cameroon","Camerún","273000","324114","243122","315100","355610","384059","424794","453051","470598","466050","0","171007.2","248027.2","287208","275760","267208","343592","236000","265136","83882","40884","177992"
"Togo","Togo","77273","46364","","","","","","","","","663013","832351.1563973","745781.74809138","840948","426344.03992044","420875","475185","500686","566295","633629","320806","672184"
"Ghana","Ghana","314335","301135","255630","241111","96444","","","","","","169030.94960614","491583.03444624","691271.96142731","396372","407544","390457","359516","681691","467624","597343","321437","559393"
"Ivory Coast","Costa de Marfil","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Guinea","","","","","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","Guinea-Bisáu","","","","","","","","","","","","","","","","","","","","","",""
"Liberia","Liberia","","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","Sierra Leona","19009","13877","13877","13599","15503","16743","18752","20252","21420","21784","0","48789","50193","","","","","","","","",""
"Burkina Faso","Burkina Faso","143529","100286","53236","54475","61364","66273","73131","77810","80543","79345","160000","133709.77917108","125693.69644491","138996","117420","122590","144950","145049","189545.33687603","185841","70228","112940"
"Central African Republic","República Centroafricana","77273","46364","","","","","","","","","","","","","","","","","","","",""
"Republic of the Congo","República del Congo","","","","","","","","","","","","","","","","","","","","","",""
"Gabon","Gabón","446688","373904","365877","385529","430873","465343","508368","535324","545640","524867","243635.52898997","121233.39565811","42729.319471276","0","","137331","77320","","","","",""
"Equatorial Guinea","Guinea Ecuatorial","","","","","","","","","","","25969.382364616","130197.6","316620.85","401712","303024","400758","458222","496322","404301.32801322","425475","138898","31268"
"Zambia","Zambia","89628","48517","47075","50977","49888","53880","58679","61589","62467","","260502","306034.3","127296.65","10032","8592","203617","144060","154573","16633.138941549","17505.689636364","8717.833","136609.957"
"Malawi","Malaui","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Mozambique","259568","264216","281513","280516","293873","346830","350314","443010","461125","490019","558192","577019.81446882","559608.7956682","701472","739636.74414715","676028","632965","569211","540124","587364","327742","411739"
"Eswatini","Suazilandia","","","","","","","","","","","","","","","","","","","","","",""
"Angola","Angola","235448","193317","189619","198253","222032","239795","262666","277361","283887","274869","1010194","987798","1132424","1321872","1409952","1244491","1482546","1375523","1516628","1436959","356695","311488"
"Burundi","Burundi","","","","","","","","","","","","","","","","","","","","","",""
"Israel","Israel","4442967","3967140","3708138","3677879","4968931","4392448","4357151","4662615","4563041","4605452","5084798","5151469","5381980","5565864","5886728","6331198","6866472","6993888","7404373","7068458","1249361","2437207"
"Lebanon","Líbano","805803","815862","874152","935213","1086730","1076258","968820","1074219","1067774","1308382","1893359","2029610","2148669","2241480","2419476","2591297","2647258","2879528","2981937","3164358","1077762","1603134"
"Madagascar","Madagascar","629409","657953","266033","451729","513508","574904","572991","616433","558981","499526","524296","544100.72727273","588169","539208","520421","458572","441861","486425","541290","544458","186314.332","109461.4"
"Palestine","Palestina","","","","","","","","","","","","","","","","","","","","","",""
"The Gambia","Gambia","","","","","","","","","","","0","0","11284","146784","151776","3036","44330","53735","104891.39475506","109542.14508048","",""
"Tunisia","Túnez","1907876","1926118","1789327","1719524","1940037","1996699","2054641","2054679","2274580","2278964","2739634","3153388.9766099","3580910.2187347","4648608","4628511","3496190","3606247","3963968","4274199","4335325","1381745","1675777"
"Algeria","Argelia","2997480","3419249","3002232","3292815","3236364","3037298","2899722","2813018","2884506","4370917","3372283","3543663","4082595","4492436.9633442","5021288.9633442","5400896","6093416","6230157","6442442","6752002","1460077","1949936"
"Jordan","Jordania","1281997","1178058","1299699","1353444","1660235","1737165","2046457","2246212","2355285","2323750","3077036.6960894","3267109.7362049","3438356","3294911","3211795","3065145","3181283","3381677","3383805","3478444","816253","1695302"
"United Arab Emirates","Emiratos Árabes Unidos","6893085","7675845","9667005","11609840","14314326","","","","","31761631","44948143.849412","50342891.802869","59948766.697648","68151865","75608196","84343562","91763598","95306195","95758342","93995208.09","26116897","28422616"
"Qatar","Catar","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","Kuwait","2112523","2084574","2299218","2185990","2496441","2433213","2627870","2659769","2523966","2597076","4563082","3722729.502639","3481039","3244805","3530851","3752995","4069935","5731748","6464847","7385299","1823594","2182888"
"Iraq","Irak","","","","","","","","","","","","","","","","","","","","","",""
"Oman","Omán","2118338","1980076","2103559","2777424","3267088","","","","","2360682","3262849","3795755","4430383","4994729","5051804","6365784","7709851","9035230","10438241","11239996","2496069","2075390"
"Vanuatu","Vanuatu","101503","97471","104294","83151","103939","112254","116744","122581","120742","112169","247944","240396.43770434","318747","327060","320232","272332","299315","341110","374603","466865.0531334","136360","128164"
"Cambodia","Camboya","","","124847","164515","162132","168810","256160","307782","211281","183503","277725.05429723","499981.51796255","508688.50938602","615123.32800372","1071179","1103880","1047394","1305297","1411059","1429503.7304639","609564.382","50217.459"
"Thailand","Tailandia","17392091","17662418","18111892","16622502","20342582","18902629","20102408","21191723","19993134","19618735","28780723","31940491.983851","36392469.354526","43029150.6","46546612.484507","56447637","62341676","70704889","76053042.754","76344410","28179302.666","12734583"
"Laos","Laos","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Birmania","","","","","","","","","","","","","","","","","","","","","",""
"Vietnam","Vietnam","","","","","","","","","","","","","","","","","","","","","",""
"North Korea","Corea del Norte","","","","","","","","","","","","","","","","","","","","","",""
"South Korea","Corea del Sur","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","Mongolia","253917","255298","269886","294880","310158","295252","347998","380708","364470","257233","391188","496649.10773313","626469.96653678","585864","683254","529311","537853","602775","670360","744413","143860","61614"
"India","India","17299483","16862737","17633019","19455085","23934074","27879461","40288794","51897450","49877935","54446373","64374253.803896","73996912","72151828.889548","75589071","82718882.88","98927860","119577835","139752424","164035637.545","167499116","68959633","83964797"
"Bangladesh","Bangladés","","","","","","","","","","","","","","","","","","","","","",""
"Bhutan","Bután","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","Nepal","643332","641142","352544","356369","444691","480266","509792","528226","520303","484394","917939","901116.11793797","776864.1215957","643140","517548","510342","634292","2443630.512","4525805","1659671","1989284","2550505"
"Pakistan","Pakistán","5293541","6011849","4141009","4522110","5097477","5364134","5714831","5439144","5605758","5303268","6588114","7940545.0755121","7973906.3606728","7833901.087732","7670348.1854314","8467827","9628354","7260769","6880637","7420378.249","3711456.87","4930661.98"
"Afghanistan","Afganistán","149705","","","","","","","","","","1999127","2279341.1795286","1737962.1264066","2044188","2209428","1929907","1917924","1647425","1125367","1066747.3561925","449041.025","293212.994"
"Tajikistan","Tayikistán","168006","","496905","442712","598456","479172","394440","501178","683248","764505","616999.41230765","846967.38025054","650130.54738903","683060.15749291","1064176.3279873","1034477","1037897","580374","492320","539094.616","260316","125163.504"
"Kyrgyzstan","Kirguistán","240954","192060","174369","205604","245570","225923","219464","274981","204525","309488","375602","526018.01247642","494640.42682199","771165","712284","967629","1015750","1122951","1175000.704","867935","191774","171347.337"
"Turkmenistan","Turkmenistán","1283780","1407423","1407423","1411910","1612479","1653638","1843140","1850921","1823157","1706055","300970","160243.76537593","147500","1800847.4576271","579715.68","897079","1318350","2136219","2457474","2081424.32","1084543.419","648370.136"
"Iran","Irán","","","","","","","","","","","","","","","","","","","","","",""
"Syria","Siria","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","Armenia","298232","369164","407777","366581","509904","555795","605817","560626","623688","653320","704753","392312","364733","45000","0","","","","53259","193668","54940","179200"
"Sweden","Suecia","13354314","13123426","12421220","11586025","11623925","","","","","","41153081","46260220","49192941","51925707","57789383","58636668","55672453","51825549","51473905","50957868.602","14105839.7975","20067143.633"
"Belarus","Bielorrusia","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","Ucrania","950697","986022","1119889","1652632","2200094","2512910","2801992","1736018","3456288","3427818","3956053","5477654.9181818","5828107.6121179","5218814.574","4503610","4620530","5756509","6794396","7854842","7604522.332","1801014","3282709"
"Poland","Polonia","2340919","2670283","2845919","3252222","3493094","3553680","3625982","4269655","4634676","4279072","4099082","4448727.0598285","4909100.3920691","5002975.7486676","5038745.4259833","4448883","5497163","7376512","9277538","10225516","2686258","3676185"
"Austria","Austria","6641875","6550376","7070344","6902780","7619372","8037890","8785116","9140909","9140680","8520740","13493793","14088251.664057","14518841.052972","15037454","15210489","14718641","14724774","16171640","12935505","46476602","13285414","18901048"
"Hungary","Hungría","2197521","2023385","2098760","2260849","2546234","2735214","2591666","3133574","3111575","2952885","12477063.176251","13729553.534686","12289555.076428","13926540","16482060","20043787","21399963","26066294","31226848","39803373","14597294","20127200"
"Moldova","Moldavia","","","","","","","","","","","","","","","","","","","","","",""
"Romania","Rumania","1218102","1137305","959487","1255313","1337781","1707714","2047466","3003872","3253417","3268022","3733253","3659209","3593312","3087143","3067724.4","3634598","3686938","4423249","4908235","5630289","1786407","2719206"
"Lithuania","Lituania","283836","304051","303865","329271","447883","505409","429657","423585","609847","616514","81450","69445","592996","1009728","1274911","1363946","1046012","1069268","26031","40944","35027","11289"
"Latvia","Letonia","278396","255392","264991","339747","593662","1032128","1409620","1344912","1371810","1301848","3158051","3299391","2888683","2754720","2636612.7588988","2527368","2843133","3441024","4058762","4976410","1323070","1598685"
"Estonia","Estonia","277595","277768","304135","395485","509556","577808","598123","651323","685582","395532","582320.20275315","614933","914519","627588","602880","512389","372274","13103","62802","857","",""
"Germany","Alemania","57962865","56389365","61889678","72693124","82099657","90788848","99647314","106101747","107941584","103396735","97330734.280759","107042775.79118","105978474.52638","109062321.51578","112353098.59355","117222850","116713587","114160685","109796202.17431","109633750.727","25758450","33073180"
"Bulgaria","Bulgaria","535246","233963","62798","310952","476277","653703","808451","855229","1073496","798165","801840","932868","973062","1013220","1060147","1063498","1092333","1133069","1022645","832828","443067","41126"
"Greece","Grecia","7937434","8430333","7579225","7518932","9276954","9452219","9481314","10206223","9442743","8795133","10352657.531181","9569211.4194176","8785275.4559278","8761116","11152236","11237054","12689082","13852857","15125933.51526","16124738.33","5647917","8726345"
"Turkey","Turquía","12187891","10603908","10686877","10745444","14275835","16943828","19361415","22895275","25505092","31339441","45665249","53500303","63350312","74413804.619868","84574844","96604665","100366461","107917326","115595495.817","111131475","44722690.061","69065868"
"Albania","Albania","136622","146273","137569","158888","179543","195702","213315","238913","243691","231263","768533","829778.92387071","814339.7302787","865848","151632","","26634","204090","303137","307741","124714","193259"
"Croatia","Croacia","1072000","1245000","1356000","1582000","1743000","2099000","2148000","1545318","1752603","1679197","1577226","1812519","1872799","1716702","1756070","1782666","1875433","2057804","2093577","2108591","608458","767762"
"Switzerland","Suiza","17268093","16914823","13295500","10118096","9287315","9662619","10647142","12298456","14352757","14701206","22146864","24866065","26386306.603467","27503416","27923164","27011762","25859918","26732570","28857994","30339654","9009607.2","10988881.272"
"Luxembourg","Luxemburgo","870831","885852","822533","853903","855840","851136","927738","1039067","1059848","681482","786920","785200","781146","1555788","1710624","1830972","1845726","1901012","2099102","2114417","753114","1081478"
"Belgium","Bélgica","10738119","8489007","2341816","2904114","3264582","3340509","3641155","4078094","5878585","4858700","7528586.3042496","8638553.1","9508165.3149454","9521421","10535219","11473055","12545322","13676844","13639487","14279187","3520849.848","5404284.479"
"Netherlands","Países Bajos","20898713","20072980","22931166","23454932","25595676","26132696","27454451","28857440","29601230","29108547","26979676.629682","29959476.404377","31672223.975959","33455251","33956338","35687843","40078714","42763443","44417573.579144","46358457.951","14748517.334","19349165.526"
"Portugal","Portugal","6721365","6650492","6795580","7590259","9052471","10139655","9440930","10320040","11171020","9903771","10428173.512674","11014639","11338080","11860998","12635439","12706909","13105120","15937325","17367956","22047878.978","6219531.061","8056494.578"
"Spain","España","39711776","41469789","40380629","42506835","45539952","49855007","53122464","60664991","55213716","49289158","52847712.608323","52736140.925013","48089178.327112","48056735.818","53069339","60564041","66674868","71598374","80706703","88237165.272","26557077.999","43440479.727"
"Ireland","Irlanda","13983022","15450847","19728801","28863657","34748853","42872544","50737809","60099058","69447262","77747207","84784226","89956333.509687","92637189.190393","93408036","98449140","115928738","134065078","153944513","167598633","170161848","54582262","74065210"
"New Caledonia","Nueva Caledonia","","","","","","","","","","","","","","","","","","","","","",""
"Solomon Islands","Islas Salomón","75262","81376","84537","68104","84676","91450","101190","102090","100558","94027","142660","140183.26388356","138160.1153057","302412","330456","373739","373467","427806","427806","229670.648","138660.862","100593.419"
"New Zealand","Nueva Zelanda","","","","","","","","","","","","","","","","","","","","","",""
"Australia","Australia","32577569","33477398","39021581","41386432","41596552","44657324","46951775","48728837","51488427","50026967","60640913","63360310.337766","66355274","68197955","68123237.669317","69779346","72446421","74257326","75667645.034751","76850596.719","23346254","24572955"
"Sri Lanka","Sri Lanka","1755567","1718331","1740807","1957606","2412889","2817778","3100832","3206766","2951506","2417713","3008322.6918876","3665394","4616417","4793393.4","4756131","4911730","5284585","5403577","5882376","5582446","1240391","871685"
"People's Republic of China","China","61891807","72660653","83671798","86040642","119789024","136721623","158013351","183613132","191001220","229062099","266293020","292160158","318475924","352795296","390878784","436183969","487960477","551234509","611439830","659629070","417255845","440301216"
"Taiwan","República de China","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Italia","30418137","31031074","28244627","36345771","35922093","36115764","36709131","37830745","30672048","33194501","32645164","33923370.505106","31072962.155732","27846220","27193939","28603919","29120041","26288001","27243741","27760301","7801490","2449339"
"Denmark","Dinamarca","5922623","6382092","6322432","5886037","6428701","","","","","","","","","","","","","","","","",""
"United Kingdom","Reino Unido","70436030","70331725","72381196","76388660","86054762","93602879","97544631","101622807","104713553","102464509","101515720.1934","111598546.14123","115419920.56567","118605866","124901676.05268","131512994","143781714","151159067","165388610","142392528","30237827","26631932"
"Iceland","Islandia","1431818","1357946","1198920","1133775","1332811","1528929","1536157","1720496","1423422","1364651","1851416.8417551","2150527","2400160","2602714","3035882.7791066","4134980","5710834","7242611","7819740.5599824","4656017","903927","1499034"
"Azerbaijan","Azerbaiyán","545800","543800","575300","683700","1007000","1134300","1253400","1440700","756338","839514","796698","1348414","1560084","1651710","1770192","1803112","1961639","2331308","2279546","2585280","545265","1102455"
"Georgia","Georgia","117521","110800","246609","303802","228560","249131","271553","304139","310222","294400","164446","222630","178363","189316","196589","232263","220448","341751","516034","509913","72906","84591"
"Philippines","Filipinas","5756288","6416383","6449022","6457529","7387965","8056829","8304634","8818150","9508389","10480898","22575356","26326620.762832","28540727.36081","25540880","34897404","37023422","40206684","39341995","43080118","47776892","10613531","6886922"
"Malaysia","Malasia","16560793","16107156","16281275","16704600","19226564","20369086","17833364","21325754","22420870","23766316","34239014.172521","38218608.852353","39165195.217678","47995842.00418","49673884","50345820","53817353","58711937","60481772","63623130","15893988","4965360.963"
"Brunei","Brunéi","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Eslovenia","627907","689635","720513","758392","764991","757651","860735","945420","1103685","953378","979803","972711","816630","857000","916981","1045409","1009559","1087075","1094762","869640.1","78565","21037"
"Finland","Finlandia","6828143","6697556","6415606","6183906","7049416","7075195","7597125","8288683","7916485","7423265","8685772.8683254","9508050","10731828.492592","10467321","10992792","13035848","13754228","12209646","13364839","14610547","3500299","2805555"
"Slovakia","Eslovaquia","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","República Checa","2229216","2565808","2808793","3391474","4219478","4706226","4921600","4869586","4974879","5048360","5145187","4902816","3594882","5186676","5009995","3378028","4048658","5450671","8851291","5446163.2","929888.181","1418032"
"Eritrea","Eritrea","","","","","","","","","","","","","","","","53074","66927","102729","89136.815910872","101357.3758656","45104.031",""
"Japan","Japón","109123312","107823469","109037841","103988547","101740600","102279015","102845319","99842338","97022471","86896527","109617020.96575","89788818","98907859","107573000","110547000","114128000","117708000","123898000","126387527","130233352","51131122","45410146"
"Paraguay","Paraguay","265898","281040","267089","298928","373456","445854","432760","458688","465911","428493","715072","845395.68884887","794176","711548.47","608844","452004","467713","454276","710407","632389","131713","111964"
"Yemen","Yemen","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","Arabia Saudita","12566492","12835735","13564300","13821729","14942633","15933045","16830838","17141188","16708204","17508200","20323592","23135735","26537661","28252104","32269452","33431736","35092840","37503000","39767648","46181487","20968865.89","29403732"
"Antarctica","Antártida","","","","","","","","","","","","","","","","","","","","","",""
"Turkish Republic of Northern Cyprus","República Turca del Norte de Chipre","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","Chipre","1396076","1503427","1704780","1882981","2013254","1920516","1944138","2071648","2111205","1943949","1583627","1263117","1285976","1211208","688368","23405","224653","711554","401408","395436","104559","103016"
"Morocco","Marruecos","3671317","3680688","3049154","2638314","3004353","3492984","4109489","4623543","4927341","4930683","7144446","7502696.7452167","6563646.6759083","6507408","6976810","7043971","7738637","8667392","8132917","9380951","3012310","4740714"
"Egypt","Egipto","","","","","","","","","","","","","","","","","","","","","",""
"Libya","Libia","600734","582712","559404","626532","850185","0","1151785","1204107","1213854","1147234","2928705.6798502","2284066.501168","1398125.1342956","2744844","2391856","1430460","1283181","1186424","1442576","1367458","715300.42","968476.425"
"Ethiopia","Etiopía","944595","1027528","1103184","1117329","1403293","1667316","1720306","2290179","2715017","2914056","3347022","4440917.6908399","5001121.8652456","5671501","6274582","7074779","8242114","9566378","11501244","12631216","4940183","7065954"
"Djibouti","Yibuti","","","","","","","","","","","","","","","","","","","","","",""
"Somaliland","Somalilandia","","","","","","","","","","","","","","","","","","","","","",""
"Uganda","Uganda","39379","40560","40560","39749","45711","49368","55292","59715","63160","64234","154909","141603","182144.4","198804","163824","41812","52187","14958","21212","19822.5","4946","16490"
"Rwanda","Ruanda","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","Bosnia y Herzegovina","69142","64993","65643","72864","","","","","56313","79977","56485.161815801","40182.439766754","24874.089632018","15000","36636","7071","","","","5375","1593",""
"North Macedonia","Macedonia del Norte","599012","315450","165735","200959","210875","191977","209255","234366","196420","86868","","","","","","","","","","","",""
"Serbia","Serbia","","994880","1185479","1011231","1076473","918540","1041747","1118404","1135322","926618","985072","1149102","1240709","1241352","2187144","2427047","2486009","2442731","2262703","2469081","795228","1276465"
"Montenegro","Montenegro","","121737","","287111","337046","383140","","","","","659355.41480782","523356","544519","528852","503040","526980","544597","507637","565522","597380","","1589.285"
"Kosovo","Kosovo","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","Trinidad y Tobago","1254425","1387639","1268879","1084186","1132392","1055106","1024304","1085650","1102669","1014016","1842253","2625055.7130404","2625055.7130404","2865852","2732100","2617843","2598521","2582961","2458183","2583595","677670","652148"
"South Sudan","Sudán del Sur","","","","","","","","","","","","","","","","","","","","","",""
